address,Latitude,Longitude
"경상북도 구미시 구미대로 350-27, 경북산학융합본부 406호 (신평동)",36.1191045,128.3653044
"경상북도 구미시 구미대로 350-27, 경북산학융합지구 구미기업관 506,507,509,510,411호 (신평동)",36.1191045,128.3653044
경상북도 구미시 구미대로2길 14-2 (임은동),36.0869592,128.3628738
경상북도 구미시 구미중앙로 298 (송정동),36.1167738,128.3538677
경상북도 구미시 구미중앙로35길 13 (원평동),36.1241204,128.3466315
경상북도 구미시 금오대로 347 (오태동),36.0758492,128.3500504
경상북도 구미시 금오대로 493 (임은동),36.0861023,128.3601061
경상북도 구미시 금오대로16길 47 (오태동),36.0689606,128.3543728
경상북도 구미시 금오대로20길 41-2 (오태동),36.0696258,128.3546445
경상북도 구미시 금오대로20길 48 (오태동),36.0692814,128.3546807
경상북도 구미시 금오대로24길 16 (오태동),36.0712792,128.3534329
경상북도 구미시 금오산로 37 (원평동),36.1320228,128.3272212
경상북도 구미시 금전동 39번지,36.1290537,128.4681886
경상북도 구미시 금전동 835-1번지,36.125987,128.4514938
경상북도 구미시 남통동 24-4번지,36.1290454,128.3179964
경상북도 구미시 남통동 24번지,36.1292961,128.3162321
경상북도 구미시 대학로 61 (양호동) 119호(거의동 벤처창업관),36.1461499,128.3924973
경상북도 구미시 대학로 61 (양호동) 금오공과대학교 112호,36.1460625,128.3934375
경상북도 구미시 대학로 61 (양호동) 벤처창업관 219호,36.1461499,128.3924973
"경상북도 구미시 대학로 61 (양호동, 금오공과대학교) 벤처창업관 407호",36.1460625,128.3934375
"경상북도 구미시 대학로 61, 114호 (양호동)",36.1431727,128.3856386
"경상북도 구미시 대학로 61, 301호(금오공과대학교 벤처창업관) (양호동)",36.1460625,128.3934375
"경상북도 구미시 대학로 61, 금오공과대학교 벤처창업관 207호 (양호동)",36.1460625,128.3934375
"경상북도 구미시 대학로 61, 금오공과대학교 벤처창업관 409, 409-1호 (양호동)",36.1460625,128.3934375
"경상북도 구미시 대학로 61, 금오공과대학교 벤처창업관 410호 (양호동)",36.1460625,128.3934375
