name,address,type,product
칠성산업(주),경상남도 창원시 의창구 차룡단지로 167 (팔용동) 외 2필지,폴리스티렌 발포 성형제품 제조업 외 3 종,스치로폼
태명테크(주),경상남도 창원시 마산합포구 진전면 율티리 143번지 외 1필지,금속 절삭기계 제조업 외 1 종,"머쉬닝센터, 식품가공기계"
태성테크,경상남도 창원시 의창구 대산면 가술리 503-25번지 외 5필지,액체 펌프 제조업,액체 펌프
태양정밀,"경상남도 창원시 의창구 차룡로14번길 14 (팔용동, 태양정밀) 외 1필지",그 외 자동차용 신품 부품 제조업 외 3 종,"자동차용품, 오일쿨러, 인터쿨러"
태양정밀,경상남도 창원시 성산구 성산패총로38번길 6 (성산동) 외 1필지,절삭가공 및 유사처리업,기계부품
태양종합기계,경상남도 창원시 의창구 북면 무곡리 170-6번지 외 1필지,유압기기 제조업,유압부품
태은산업,경상남도 창원시 마산회원구 내서읍 광려천남로 201 (내서읍) 외 1필지,도장 및 기타 피막처리업,도장
태창기계,"경상남도 창원시 성산구 웅남동 48 번지 B동 1호, 2호 외 1필지",기타 가공 공작기계 제조업,기계부품
태형금속공업㈜,경상남도 창원시 진해구 남양동 380-8번지 외 1필지,절삭가공 및 유사처리업,Counter Weight
통일보일러(주),경상남도 창원시 마산합포구 진북면 신촌리 382번지 외 1필지,산업용 난방보일러 및 방열기 제조업 외 2 종,"산업용 보일러,산업용 보일러 설비"
트루텍,"경상남도 창원시 성산구 완암로 50, 테크동 B1층 112(일부) (성산동, SK테크노파크) 외 1필지",절삭가공 및 유사처리업,"자동차 치공구, jIG, 부품가공"
티아이씨(주) 1공장,"경상남도 창원시 성산구 공단로271번길 11, (웅남동 44-6) (웅남동) 외 3필지",금속 절삭기계 제조업 외 4 종,"GearSet,D/Case,D/Assy"
포커스옵텍(주) ,경상남도 창원시 마산회원구 자유무역3길 206 (봉암동) 외 1필지,정형외과용 및 신체보정용 기기 제조업 외 3 종,조준경
프로페인팅,"경상남도 창원시 성산구 공단로 230-2, C동 1, 2층 (웅남동, 창원중공업) 외 1필지",도장 및 기타 피막처리업,도장
피케이밸브(주),"경상남도 창원시 성산구 공단로 80 (신촌동, 피케이밸브(주)) 외 1필지","탭, 밸브 및 유사장치 제조업 외 1 종",밸브
하이트진로(주)마산공장,"경상남도 창원시 마산회원구 3·15성역로 8 (구암동, HITE맥주생산공장) (총 19 필지) 외 18필지",맥아 및 맥주 제조업 외 2 종,"맥주,맥주박,맥피"
한국철강(주),"경상남도 창원시 성산구 공단로103번길 12 (신촌동, 한국철강(주)) 외 1필지",제철업 외 7 종,"철강, 제강, 제철  등"
한국특수관제작소,경상남도 창원시 의창구 동읍 동읍로835번길 18-9 외 1필지,"동 압연, 압출 및 연신제품 제조업",동 모세관
한국특수코팅,경상남도 창원시 의창구 대산면 유등로 27 외 1필지,도장 및 기타 피막처리업,세탁키 부품도장
한라정공,경상남도 창원시 성산구 반월로 39-21 (신촌동) 외 1필지,절삭가공 및 유사처리업,금속절삭가공 및 부품
한불테크,"경상남도 창원시 성산구 남면로 219, 2동 1층 16 (대원동) 외 2필지",유압기기 제조업,유압실린더 외
한종산업,경상남도 창원시 진해구 남양동 379-4번지 외 3필지,도장 및 기타 피막처리업,P.E코팅
한화글로벌에셋(주)진해,경상남도 창원시 진해구 충장로 608 (풍호동) 외 8필지,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업 외 2 종,"상재류, G/J 외"
한화디펜스(주) 제2사업장,경상남도 창원시 성산구 공단로 799 (성주동) 외 1필지,전투용 차량 제조업 외 3 종,"자동화,특수장비 등"
한화에어로스페이스(주) 창원사업장,경상남도 창원시 성산구 창원대로 1204 (성주동) 외 1필지,기타 기관 및 터빈 제조업 외 8 종,항공기엔진정비및부품제조
해성디에스(주),경상남도 창원시 성산구 웅남로 726 (성주동) 외 2필지,기타 반도체소자 제조업 외 1 종,리드프레임 외(반도체 부품)
해성테크놀로지(주) ,경상남도 창원시 성산구 웅남로 726 (성주동) 외 2필지,발광 다이오드 제조업 외 1 종,반도체소자 및 리드프레임
해원기업,경상남도 창원시 마산합포구 진북면 대티1길 96-23 (진북면) 외 2필지,오락 및 스포츠용 보트 건조업 외 1 종,낚시보트 및 낚시대
현대기전(주),경상남도 창원시 의창구 동읍 무성리 166번지 외 7필지,그 외 기타 전기장비 제조업,SOLENO1D
현대로템(주),경상남도 창원시 성산구 창원대로 488 (대원동) 외 9필지,기관차 및 기타 철도차량 제조업 외 35 종,"철도차량,전차,장갑차 등"
현대비앤지스틸(주),"경상남도 창원시 성산구 적현로 124 (신촌동, 비앤지스틸(주)) 외 4필지",냉간 압연 및 압출 제품 제조업 외 2 종,"스텐레스,강판,강대"
현대산업사,경상남도 창원시 의창구 동읍 무성리 173번지 외 7필지,금속 절삭기계 제조업 외 2 종,자동화 기계부품
현세기보링(주),경상남도 창원시 마산합포구 진동면 오산3길 129 (현세기보링) (총 2 필지) 외 1필지,건설 및 채광용 기계장비 제조업,엔진가공수리
혜원테크,"경상남도 창원시 성산구 남면로 219, 1동 1층 5호 (대원동) 외 2필지",절삭가공 및 유사처리업,"발전설비, 진공펌프, 항공기엔진 부품 외"
화신정밀,"경상남도 창원시 성산구 공단로 230-2, A동 1호, 2호 (웅남동, 창원중공업) 외 1필지",내연기관 제조업,엔진 및 터빈
효성중공업㈜ 창원1공장,"경상남도 창원시 성산구 연덕로 171 (내동, (주)효성창원 공장) 외 1필지",선철주물 주조업 외 8 종,"변압기,차단기"
효종(주),경상남도 창원시 마산합포구 진전면 대실로 189 (효종) 외 2필지,그 외 기타 금속가공업 외 2 종,"선박용구조물, 절단기(프라즈마방식)"
훌루테크(주),"경상남도 창원시 성산구 공단로98번길 6 (신촌동, 훌루테크(주)) 외 1필지",유압기기 제조업,건설/산업기계용 유압기기
흥일제재소,경상남도 창원시 의창구 대산면 주남로382번길 49 (총 2 필지) 외 1필지,일반 제재업,각재 및 판재
 대흥중자,경상남도 함안군 칠서면 함의로 209-40 (대흥중자) 외 1필지,주형 및 금형 제조업,산업용로봇
(사)환경사랑나눔회 경남희망세상제작단,경상남도 함안군 군북면 국우로 95 외 1필지,"라이터, 연소물 및 흡연용품 제조업",폐합성수지류 비성형 SRF
(유)국제케미칼,경상남도 함안군 여항면 내곡1길 93 (국제케미칼) 외 3필지,자동차용 금속 압형제품 제조업 외 1 종,우레탄 금형제품
(유)씨에스강업(제2공장),경상남도 함안군 대산면 서촌1길 120 외 1필지,기타 1차 비철금속 제조업,핀튜브
