회사명,신고기준년도,폐기물 종류,운반자,처리업소명,처리방법,공장대표주소,,업종명,생산품
(주)티케이케미칼 폴리에스터공장,2016,폐폴리염화비닐수지류,(주)부양,(주)부양,재활용(원료 제조),경상북도 칠곡군 석적읍 3공단2로 6,,,
(주)티케이케미칼 폴리에스터공장,2016,폐합성수지류(폐염화비닐수지류는 제외한다),(주)구미환경,(주)알케일,재활용(중간가공폐기물 제조),경상북도 칠곡군 석적읍 3공단2로 6,,,
(주)티케이케미칼 폴리에스터공장,2016,그 밖의 폐수처리오니,(주)라이프환경,(주)네비엔,재활용(중간가공폐기물 제조),경상북도 칠곡군 석적읍 3공단2로 6,,,
(주)티케이케미칼 폴리에스터공장,2016,폐합성수지류(폐염화비닐수지류는 제외한다),(주)이앤이,(주)이앤이,중간처분(일반소각),경상북도 칠곡군 석적읍 3공단2로 6,,,
(주)티케이케미칼 폴리에스터공장,2016,그 밖의 폐목재류,한솔재생산업(주),한솔재생산업(주),재활용(중간가공폐기물 제조),경상북도 칠곡군 석적읍 3공단2로 6,,,
(주)티케이케미칼 폴리에스터공장,2016,폐석고,(주)태흥환경개발,(주)케이엠그린 구미지점,매립(민간관리형매립시설),경상북도 칠곡군 석적읍 3공단2로 6,,,
(주)티케이케미칼 폴리에스터공장,2016,그 밖의 광재류 ,(주)태흥환경개발,(주)케이엠그린 구미지점,매립(민간관리형매립시설),경상북도 칠곡군 석적읍 3공단2로 6,,,
(주)티케이케미칼 폴리에스터공장,2016,폐합성수지류(폐염화비닐수지류는 제외한다),포리원산업,포리원산업,재활용(원료 제조),경상북도 칠곡군 석적읍 3공단2로 6,,,
(주)티케이케미칼 폴리에스터공장,2016,폐합성수지류(폐염화비닐수지류는 제외한다),금오환경개발,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 석적읍 3공단2로 6,,,
폴리마스터코리아(주),2016,폐합성수지류(폐염화비닐수지류는 제외한다),(주)대화티엔에스,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 왜관읍 2산업단지2길 206-17,,,
거림화학,2016,폐합성수지류(폐염화비닐수지류는 제외한다),청조환경(주),청조환경(주),재활용(중간가공폐기물 제조),경상북도 칠곡군 약목면 관호1길 66-13,,,
제이씨테크,2016,폐합성수지류(폐염화비닐수지류는 제외한다),내일산업,(주)제일에너지,중간처분(일반소각),경상북도 칠곡군 지천면 신동로5길 101,,,
칠곡군수도사업소,2016,하수처리오니,세원환경(주),칠곡군하수슬러지처리장,재활용(퇴비화),경상북도 칠곡군 왜관읍 강변대로 958,,,
칠곡군수도사업소,2016,하수처리오니,세원환경(주),영농조합법인푸르른제2농장,재활용(기타),경상북도 칠곡군 왜관읍 강변대로 958,,,
칠곡군수도사업소,2016,그 밖의 폐기물,동광환경(주),부산그린파워(주),매립(민간관리형매립시설),경상북도 칠곡군 왜관읍 강변대로 958,,,
(주)네이처셀 칠곡공장,2016,그 밖의 폐수처리오니,(주)라이프환경,대구하양지렁이농장,재활용(토질개선에 사용),경상북도 칠곡군 기산면 기산공단1길 21,,,
(주)네이처셀 칠곡공장,2016,그 밖의 식물성잔재물,(주)진성종합물류,대원바이오(주),재활용(농업생산활동에 사용),경상북도 칠곡군 기산면 기산공단1길 21,,,
(주)네이처셀 칠곡공장,2016,그 밖의 폐수처리오니,(주)라이프환경,꿈틀지렁이농장,재활용(토질개선에 사용),경상북도 칠곡군 기산면 기산공단1길 21,,,
(주)네이처셀 칠곡공장,2016,그 밖의 폐수처리오니,(주)라이프환경,(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 기산면 기산공단1길 21,,,
(주)네이처셀 칠곡공장,2016,폐합성수지류(폐염화비닐수지류는 제외한다),(주)라이프환경,청조환경(주),재활용(연료·고형연료제품 제조),경상북도 칠곡군 기산면 기산공단1길 21,,,
(주)네이처셀 칠곡공장,2016,그 밖의 폐수처리오니,(주)라이프환경,물레방아지정이농장,재활용(토질개선에 사용),경상북도 칠곡군 기산면 기산공단1길 21,,,
(주)네이처셀 칠곡공장,2016,그 밖의 식물성잔재물,농업법인(주)해인,성윤산업(주),재활용(토질개선에 사용),경상북도 칠곡군 기산면 기산공단1길 21,,,
