회사명,신고기준년도,폐기물 종류,운반자,처리업소명,처리방법,공장대표주소,,업종명,생산품
(주)혜성화학,2014,폐합성고무류,내일산업,(주)덕영에너지,재활용(파쇄.분쇄),경상북도 칠곡군 석적읍 3공단2로 56-2,,,
대신기업(주)칠곡영업소,2014,폐합성수지류,(주)새한산업개발,(주)새한산업개발,재활용(고형연료화),경상북도 칠곡군 왜관읍 경부고속도로 158,,,
대신기업(주)칠곡영업소,2014,동ㆍ식물성잔재물,(주)태흥환경개발,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 왜관읍 경부고속도로 158,,,
인터테크(주),2014,폐합성수지류,보광비케이이피,보광비케이이피,재활용(파쇄.분쇄),경상북도 칠곡군 왜관읍 2산업단지3길 65,,,
(주)매트일번지,2014,폐합성수지류,㈜대화티엔에스,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 왜관읍 2산업단지2길 206-17,,,
(주)정암이앤씨,2014,폐수처리오니,(주)태흥환경개발,(주)지엠이앤씨,매립(민간관리형매립시설),경상북도 칠곡군 석적읍 포망로 75,,,
우원개발(주),2014,폐수처리오니,내일산업,(주)티에스케이이엔이,매립(민간관리형매립시설),서울특별시 서초구 서초대로 254 (서초동_ 오퓨런스빌딩 18층),,,
(주)대명리싸이클링,2014,공정오니,내일산업,(주)케이엠그린(구미점),매립(민간관리형매립시설),경상북도 칠곡군 가산면 학하9길 54,,,
삼일화학,2014,폐합성수지류(폐염화비닐수지류는 제외한다),(주)리사이클피아,(주)리사이클피아 칠곡지점,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 공단로5길 32-22,,,
모던라인(주),2014,폐합성수지류,선우기업(주),청조환경(주),재활용(중간가공폐기물 제조),경상북도 칠곡군 지천면 신동로5길 84-7,,,
모던라인(주),2014,그 밖의 폐기물,선우기업(주),(주)케이엠그린,매립(민간관리형매립시설),경상북도 칠곡군 지천면 신동로5길 84-7,,,
모던라인(주),2014,폐합성수지류,선우기업(주),(주)케이비아이국인산업,중간처분(일반소각),경상북도 칠곡군 지천면 신동로5길 84-7,,,
(주)태영금속,2014,그 밖의 광재류 ,(주)화림,(주)화림,재활용(기타),경상북도 칠곡군 가산면 학상1길 159-35,,,
(주)태영금속,2014,그 밖의 분진,(주)구미환경,(주)티에스케이이엔이,매립(민간관리형매립시설),경상북도 칠곡군 가산면 학상1길 159-35,,,
(주)태영금속,2014,그 밖의 분진,신대한정유산업(주),신대한정유산업(주),중간처분(고온소각),경상북도 칠곡군 가산면 학상1길 159-35,,,
(주)화인알텍2공장,2013,폐수처리오니,선우기업(주),(주)케이엠그린구미,매립(민간관리형매립시설),경상북도 칠곡군 왜관읍 공단로10길 39,,,
(주)화인알텍2공장,2013,폐합성수지류(폐염화비닐수지류는 제외한다),(주)그린알앤이달성지점,(주)그린알앤이달성지점,재활용(연료·고형연료제품 제조),경상북도 칠곡군 왜관읍 공단로10길 39,,,
(주)화인알텍2공장,2013,폐가구류_ 폐도장목_ 폐목재포장재_ 폐전선드럼(접착제_ 페인트_ 기름_ 콘크리트 등의 물질이 사용된 목재를 말한다),지씨테크(주)경산공장,지씨테크(주)경산공장,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 공단로10길 39,,,
(주)화인알텍2공장,2013,폐수처리오니,선우기업(주),(주)시온,재활용(원료 제조),경상북도 칠곡군 왜관읍 공단로10길 39,,,
(주)화인알텍2공장,2013,폐흡착제,(주)일성탄소,(주)일성탄소,재활용(직접 제품제조),경상북도 칠곡군 왜관읍 공단로10길 39,,,
(주)동산,2013,폐합성수지류(폐염화비닐수지류는 제외한다),(주)모드멘,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 석적읍 3공단2로 107,,,
(주)동산,2013,폐활성탄,(주)삼천리카보텍,(주)삼천리카보텍,재활용(중간가공폐기물 제조),경상북도 칠곡군 석적읍 3공단2로 107,,,
명신섬유공업(주)(1공장),2013,폐합성수지류,(주)원동,(주)원동,재활용(기타),경상북도 칠곡군 왜관읍 공단로8길 167,,,
(주)대구정밀,2013,폐합성수지류,(주)태흥환경개발,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 왜관읍 2산업단지2길 153,,,
(주)대구정밀,2013,그 밖의 분진,선우기업(주),(주)에스케이자원개발,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 2산업단지2길 153,,,
(주)대구정밀,2013,그 밖의 분진,선우기업(주),동주산업환경(주),재활용(성토재·복토재 등으로 사용),경상북도 칠곡군 왜관읍 2산업단지2길 153,,,
이노텍,2013,폐합성수지류,(주)리사이클피아_신영환경,진영제지공업(주),재활용(기타),경상북도 칠곡군 왜관읍 공단로11길 29  (외1필),,,
이노텍,2013,폐합성수지류,(주)리사이클피아,(주)이앤이,중간처분(일반소각),경상북도 칠곡군 왜관읍 공단로11길 29  (외1필),,,
HD테크,2013,폐합성고무류,신우산업,신우산업,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 공단로8길 252,,,
성원금속,2013,그 밖의 공정오니,(주)성원금속,(주)성원금속,재활용(파쇄.분쇄),경상북도 칠곡군 약목면 교8길 82,,,
(주)디에이치텍,2013,폐수처리오니,동광환경(주),(주)그린코어,재활용(중간가공폐기물 제조),경상북도 칠곡군 약목면 경호천동길 62-24,,,
(주)신우산업,2013,폐합성수지류,우성산업,우성산업,중간처분(용융),경상북도 칠곡군 기산면 기산공단1길 30,,,
(주)엔코,2013,폐합성수지류(폐염화비닐수지류는 제외한다),금오환경개발,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 약목면 칠곡대로 472-6_ 472-12_472-13_472-14,,,
(주)상신정공 제2공장,2013,폐합성수지류,(주)대화티엔에스,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 왜관읍 공단로1길 71-20,,,
대일무역,2013,폐합성수지류,청조환경(주),청조환경(주),중간처분(파쇄.분쇄),경상북도 칠곡군 지천면 신동로2길 91-3,,,
제이에스엠,2012,폐합성수지류,(주)국인산업,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 기산면 주산로 837,,,
(주)금산인터내셔널,2012,공정오니,라이프환경,서륭소재,재활용(기타),경상북도 칠곡군 북삼읍 경호천서길 98,,,
(주)금산인터내셔널,2012,공정오니,(주)라이프환경,서륭소재,재활용(기타),경상북도 칠곡군 북삼읍 경호천서길 98,,,
(주)금산인터내셔널,2012,분진(대기오염방지시설에서 포집된 것에 한정하되_ 소각시설에서 발생되는 것은 제외한다),(주)라이프환경,(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 북삼읍 경호천서길 98,,,
(주)금산인터내셔널,2012,분진(대기오염방지시설에서 포집된 것에 한정하되_ 소각시설에서 발생되는 것은 제외한다),라이프환경,(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 북삼읍 경호천서길 98,,,
한국수자원공사(낙동강보관리단),2012,그 밖의 폐기물,내일산업,(주)이앤이,중간처분(일반소각),경상북도 칠곡군 석적읍 강변대로 1555 (칠곡보사업소),,,
한국수자원공사(낙동강보관리단),2012,그 밖의 식물성잔재물,지풍영농조합법인,지풍영농조합법인,재활용(농업생산활동에 사용),경상북도 칠곡군 석적읍 강변대로 1555 (칠곡보사업소),,,
다나인터내셔널,2012,폐합성수지류,(주)대화티엔에스,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 약목면 칠곡대로 416-4,,,
(주)케이에이치화이바,2012,폐합성수지류,금호수지,금호수지,중간처분(기타),경상북도 칠곡군 약목면 칠곡대로 460-10,,,
(주)동양테크,2012,폐합성수지류,(주)리사이클피아,(주)제일에너지,중간처분(일반소각),경상북도 칠곡군 왜관읍 공단로1길 40,,,
성신산업,2012,폐가구류_ 폐도장목_ 폐목재포장재_ 폐전선드럼(접착제_ 페인트_ 기름_ 콘크리트 등의 물질이 사용된 목재를 말한다),신우기업(주),(주)성안기업,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 경북대로 1511-16,,,
성신산업,2012,목재가공공장 부산물(접착제_ 페인트_ 기름_ 콘크리트 등의 물질이 사용된 목재부산물 및 분진을 말한다),(주)삼명환경,(주)삼명환경,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 경북대로 1511-16,,,
(주)데스코,2012,폐합성수지류,(주)대흥산업,신대일제지공업(주),재활용(기타),경상북도 칠곡군 왜관읍 공단로8길 119,,,
한국조명재활용공사(주)영남지점,2012,그 밖의 폐유리,(주)윤진테크,(주)윤진테크,재활용(원료 제조),경상북도 칠곡군 가산면 송신로 119-1,,,
한국조명재활용공사(주)영남지점,2012,폐합성수지류,나이스산업(주)_ 대유통운,나이스산업(주),재활용(원료 제조),경상북도 칠곡군 가산면 송신로 119-1,,,
한국조명재활용공사(주)영남지점,2012,폐금속류,나이스산업(주)_ 대유통운,나이스산업(주),재활용(원료 제조),경상북도 칠곡군 가산면 송신로 119-1,,,
씨에스테크,2012,폐합성수지류,경북환경,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 약목면 칠곡대로 472-13,,,
(주)대진이앤씨 칠곡1공장,2012,그 밖의 폐목재류,지씨테크(주)경산공장,지씨테크(주)경산공장,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 호국로 1206-34,,,
(주)대진이앤씨 칠곡1공장,2012,폐합성수지류(폐염화비닐수지류는 제외한다),(주)호생환경,(주)에너지네트웍,중간처분(일반소각),경상북도 칠곡군 가산면 호국로 1206-34,,,
(주)대진이앤씨 칠곡1공장,2012,폐합성수지류(폐염화비닐수지류는 제외한다),(주)대진이앤씨,(주)새한산업개발,재활용(연료·고형연료제품 제조),경상북도 칠곡군 가산면 호국로 1206-34,,,
(주)대진이앤씨 칠곡1공장,2012,폐합성수지류(폐염화비닐수지류는 제외한다),동일종합상사,(주)청도산업,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 호국로 1206-34,,,
(주)대진이앤씨 칠곡1공장,2012,폐수처리오니,(주)태경환경,동양에코(주),매립(민간관리형매립시설),경상북도 칠곡군 가산면 호국로 1206-34,,,
(주)대진이앤씨 칠곡1공장,2012,폐합성수지류(폐염화비닐수지류는 제외한다),동일종합상사,(주)창대기업,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 호국로 1206-34,,,
(주)대진이앤씨 칠곡1공장,2012,폐합성수지류(폐염화비닐수지류는 제외한다),조영산업,조영산업,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 호국로 1206-34,,,
(주)대진이앤씨 칠곡1공장,2012,사업장폐기물 소각시설 소각재(바닥재와 비산재가 혼합된 경우를 말한다),(주)호생환경,(주)에너지네트웍,중간처분(일반소각),경상북도 칠곡군 가산면 호국로 1206-34,,,
(주)럭키엔프라,2012,폐합성수지류(폐염화비닐수지류는 제외한다),(주)신성폴리머,(주)신성폴리머,중간처분(파쇄.분쇄),경상북도 칠곡군 가산면 호국로 1306-2,,,
(주)해광크린텍,2012,폐합성수지류,자가(해광크린텍),진영제지공업(주),중간처분(일반소각),경상북도 칠곡군 가산면 학상1길 159-20,,,
(주)해광크린텍,2012,폐합성수지류,자가(해광크린텍),(주)국인산업,중간처분(일반소각),경상북도 칠곡군 가산면 학상1길 159-20,,,
(주)해광크린텍,2012,폐합성수지류(폐염화비닐수지류는 제외한다),내일산업,유유리사이클링,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 학상1길 159-20,,,
(주)타스지혁 제3공장,2012,폐합성수지류(폐염화비닐수지류는 제외한다),동일환경,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 왜관읍 공단로1길 57,,,
에스에스아이(주),2012,폐수처리오니,에스디환경(주),(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 석적읍 3공단1로 100-6,,,
대신환경산업,2012,폐합성수지류,에스디환경(주),(주)제일에너지,중간처분(일반소각),경상북도 칠곡군 약목면 교8길 62,,,
(주)화인알텍3공장,2012,폐수처리오니,선우기업(주),(주)케이엠그린구미,매립(민간관리형매립시설),경상북도 칠곡군 왜관읍 공단로4길 46-14,,,
(주)화인알텍3공장,2012,폐합성수지류(폐염화비닐수지류는 제외한다),(주)그린알앤이달성지점,(주)그린알앤이달성지점,재활용(연료·고형연료제품 제조),경상북도 칠곡군 왜관읍 공단로4길 46-14,,,
(주)화인알텍3공장,2012,폐수처리오니,선우기업(주),(주)시온,재활용(원료 제조),경상북도 칠곡군 왜관읍 공단로4길 46-14,,,
(주)유성산업,2012,폐목재류 2등급,(주)삼명환경달성지점,(주)삼명환경달성지점,중간처분(파쇄.분쇄),경상북도 칠곡군 기산면 주산로 994-46,,,
성신금속,2011,비철금속제련공정광재,(주)안산산업,(주)안산산업,재활용(원료 제조),경상북도 칠곡군 가산면 학상1길 159-15,,,
광성전자(주),2011,폐합성수지류(폐염화비닐수지류는 제외한다),(주)구미환경,(주)이앤이,중간처분(일반소각),경상북도 칠곡군 왜관읍 공단로3길 2,,,
(주)성산금속,2011,화학점결폐주물사,(주)대화티엔에스,(주)정진,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 학상1길 159-11,,,
(주)성산금속,2011,화학점결폐주물사,(주)대화티엔에스,(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 가산면 학상1길 159-11,,,
(주)보광티에스,2011,폐합성수지류,(주)대화티엔에스,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 석적읍 3공단2로 56-10,,,
(주)아즈텍,2011,폐합성수지류(폐염화비닐수지류는 제외한다),(주)구미환경,진영제지공업(주),중간처분(일반소각),경상북도 칠곡군 북삼읍 경호천서길 82,,,
(주)아즈텍,2011,폐합성수지류(폐염화비닐수지류는 제외한다),(주)구미환경,(주)이앤이,중간처분(일반소각),경상북도 칠곡군 북삼읍 경호천서길 82,,,
(주)아즈텍,2011,폐합성수지류(폐염화비닐수지류는 제외한다),(주)구미환경,(주)알케이,재활용(중간가공폐기물 제조),경상북도 칠곡군 북삼읍 경호천서길 82,,,
(주)비지에프리테일 대구지점,2011,폐합성수지류(폐염화비닐수지류는 제외한다),(주)태흥환경개발,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 석적읍 호국로 608,,,
(주)제일에너지,2010,그 밖의 소각시설 중 바닥재와 비산재가 분리ㆍ배출되는 시설에서 발생하는 바닥재,(주)태흥환경개발,(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 왜관읍 공단로5길 60-1 (475-2_475-4),,,
(주)제일에너지,2010,그 밖의 소각시설 중 바닥재와 비산재가 분리ㆍ배출되는 시설에서 발생하는 바닥재,(주)삼화특운,(주)대웅지알케이,재활용(직접 제품제조),경상북도 칠곡군 왜관읍 공단로5길 60-1 (475-2_475-4),,,
(주)제일에너지,2010,그 밖의 소각시설 중 바닥재와 비산재가 분리ㆍ배출되는 시설에서 발생하는 바닥재,(주)경동글로벌로지스,(주)SP성보,재활용(원료 제조),경상북도 칠곡군 왜관읍 공단로5길 60-1 (475-2_475-4),,,
(주)성복테크 신리지점,2010,목재가공공장 부산물(접착제_ 페인트_ 기름_ 콘크리트 등의 물질이 사용된 목재부산물 및 분진을 말한다),(주)삼명환경,(주)삼명환경,재활용(중간가공폐기물 제조),경상북도 칠곡군 지천면 신동로2길 91-17,,,
(주)보광산업,2010,폐합성수지류,(주)제일에너지,(주)제일에너지,중간처분(일반소각),경상북도 칠곡군 석적읍 호국로 482,,,
(주)보광산업,2010,공정오니,(주)대화티엔에스,(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 석적읍 호국로 482,,,
(주)보광산업,2010,폐합성수지류,내일산업,진영제지공업(주),재활용(기타),경상북도 칠곡군 석적읍 호국로 482,,,
한누리,2010,폐섬유,청조환경(주),청조환경(주),중간처분(파쇄.분쇄),경상북도 칠곡군 지천면 신동로2길 91-3,,,
(주)삼성금속,2010,폐수처리오니,세원환경(주),(주)동양에코,매립(민간관리형매립시설),경상북도 칠곡군 왜관읍 공단로8길 61,,,
(주)삼성금속,2010,그 밖의 공정오니,세원환경(주),(주)동양에코,매립(민간관리형매립시설),경상북도 칠곡군 왜관읍 공단로8길 61,,,
(주)삼성금속,2010,폐합성수지류(폐염화비닐수지류는 제외한다),세원환경(주),신대일제지공업(주),재활용(직접 에너지회수),경상북도 칠곡군 왜관읍 공단로8길 61,,,
(주)삼성금속,2010,폐합성수지류(폐염화비닐수지류는 제외한다),세원환경(주),에스티에너지(주),재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 공단로8길 61,,,
(주)영진기업,2010,폐수처리오니,(주)태흥환경개발,(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 가산면 지천로 1436,,,
에스티(주),2010,폐수처리오니,(주)디에스프리텍,(주)디에스프리텍,재활용(원료 제조),경상북도 칠곡군 석적읍 3공단2로 36 (1필지),,,
에스티(주),2010,폐합성수지류(폐염화비닐수지류는 제외한다),칠곡환경,(주)이앤이,중간처분(일반소각),경상북도 칠곡군 석적읍 3공단2로 36 (1필지),,,
(주)에이에스이 칠곡지점,2010,폐수처리오니,(주)이엔티앤에스,(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 왜관읍 공단로7길 50 (외4필지),,,
(주)에이에스이 칠곡지점,2010,폐합성수지류(폐염화비닐수지류는 제외한다),동성에코,모다스,재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 공단로7길 50 (외4필지),,,
(주)유진전자통신,2010,폐합성수지류,(주)구미환경,(주)이앤이,중간처분(일반소각),경상북도 칠곡군 약목면 교8길 41-3,,,
주식회사보광산업개발,2010,폐콘크리트,(주)에이치씨 물류,(주)에이치씨부광산업,재활용(직접 제품제조),경상북도 칠곡군 가산면 경북대로 1692-12,,,
(주)태원프라콘,2010,폐합성수지류(폐염화비닐수지류는 제외한다),삼화산업,삼화산업,재활용(기타),경상북도 칠곡군 왜관읍 2산업단지1길 107,,,
(주)진양기술,2010,폐합성수지류(폐염화비닐수지류는 제외한다),(주)대하티엔에스,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 가산면 학상1길 95,,,
(주)진양기술,2010,폐합성수지류(폐염화비닐수지류는 제외한다),황소,(주)그린알앤이달성,재활용(연료·고형연료제품 제조),경상북도 칠곡군 가산면 학상1길 95,,,
(주)진양기술,2010,폐합성수지류(폐염화비닐수지류는 제외한다),황소,봉촌산업,재활용(중간가공폐기물 제조),경상북도 칠곡군 가산면 학상1길 95,,,
한성수지,2009,폐합성수지류,(주)대화티엔에스,신대일제지공업(주),재활용(기타),경상북도 칠곡군 가산면 학하9길 47,,,
대한민국재향경우회왜관공장,2009,폐도자기 조각,덕영환경(주),영진산업,중간처분(파쇄.분쇄),경상북도 칠곡군 왜관읍 공단로3길 17-27,,,
(주)엠씨테크,2009,폐수처리오니,오성기업,케이알텍,매립(민간관리형매립시설),경상북도 칠곡군 약목면 약목로 34-12,,,
(주)엠씨테크,2009,폐합성수지류(폐염화비닐수지류는 제외한다),(주)라이프환경,청조환경(주),중간처분(파쇄.분쇄),경상북도 칠곡군 약목면 약목로 34-12,,,
예은식품,2009,그 밖의 식물성잔재물,(주)태흥환경개발,(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 가산면 학하4길 10,,,
예은식품,2009,폐수처리오니,(주)태흥환경개발,(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 가산면 학하4길 10,,,
예은식품,2009,그 밖의 식물성잔재물,(주)라이프환경,(주)그린경산,재활용(농업생산활동에 사용),경상북도 칠곡군 가산면 학하4길 10,,,
(주)아세아석재(지점),2009,폐석재류,(주)청진산업,(주)청진산업,재활용(파쇄.분쇄),경상북도 칠곡군 동명면 남원로 403-3,,,
신라석재산업,2009,석재ㆍ골재폐수처리오니(석재ㆍ골재 생산 시 발생한 폐수를 처리하는 과정에서 발생한 오니로 한정한다),(주)대화티엔에스,(주)대경개발,재활용(성토재·복토재 등으로 사용),경상북도 칠곡군 기산면 각산수산길 35,,,
신라석재산업,2009,폐석재류,청진기업,청진기업,재활용(파쇄.분쇄),경상북도 칠곡군 기산면 각산수산길 35,,,
대동산업(주),2009,폐합성수지류(폐염화비닐수지류는 제외한다),내일산업,(주)새한산업개발,재활용(연료·고형연료제품 제조),경상북도 칠곡군 기산면 주산로 1039-28,,,
(주)진양기술,2009,폐합성수지류,(주)국인산업,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 가산면 학상1길 164,,,
(주)나노테크,2009,폐합성수지류,해동플라스틱,해동플라스틱,재활용(파쇄.분쇄),경상북도 칠곡군 약목면 교8길 50-11,,,
광명금속(주),2009,폐내화물,대산환경,케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 가산면 학상1길 123,,,
(주)엠텍,2008,폐합성수지류(폐염화비닐수지류는 제외한다),(주)모드멘,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 석적읍 강변대로 2422-6,,,
(주)엠텍,2008,폐활성탄,(주)삼천리카보텍,(주)삼천리카보텍,재활용(중간가공폐기물 제조),경상북도 칠곡군 석적읍 강변대로 2422-6,,,
(주)백산레미콘,2008,폐콘크리트,(주)토종환경,(주)토종환경,재활용(파쇄.분쇄),경상북도 칠곡군 가산면 학상1길 68,,,
(주)화성연료,2008,사업장폐기물 소각시설 바닥재,선우기업(주),(주)케이엠그린,매립(민간관리형매립시설),경상북도 칠곡군 지천면 지천로 433,,,
(주)화성연료,2008,폐합성수지류(폐염화비닐수지류는 제외한다),황소,(주)새한산업개발,재활용(중간가공폐기물 제조),경상북도 칠곡군 지천면 지천로 433,,,
(주)피앤텔 칠곡공장,2008,폐합성수지류,구미환경,(주)이앤이,중간처분(일반소각),경상북도 칠곡군 약목면 교8길 21,,,
(주)피앤텔 칠곡공장,2008,폐합성수지류,금강,금강,재활용(원료가공),경상북도 칠곡군 약목면 교8길 21,,,
(주)피앤텔 칠곡공장,2008,폐흡착제,한국카본,한국카본,재활용(원료가공),경상북도 칠곡군 약목면 교8길 21,,,
(주)피앤텔 칠곡공장,2008,폐합성수지류,중앙플라스틱,중앙플라스틱,재활용(원료가공),경상북도 칠곡군 약목면 교8길 21,,,
(주)현진케미칼,2008,폐합성수지류(폐염화비닐수지류는 제외한다),(주)대화티엔에스,(주)그린알앤이달성지점,재활용(중간가공폐기물 제조),경상북도 칠곡군 기산면 칠곡대로 1284-7,,,
원풍물산(주),2008,폐합성수지류(폐염화비닐수지류는 제외한다),(주)모드멘,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 왜관읍 공단로3길 47,,,
(주)네패스,2008,폐수처리오니,동광환경(주),(주)케이알텍,매립(관리형매립시설),경상북도 칠곡군 왜관읍 공단로7길 15-8,,,
(주)코닉스,2008,폐합성수지류(폐염화비닐수지류는 제외한다),금오환경개발,(주)국인산업,중간처분(일반소각),경상북도 칠곡군 기산면 기산공단1길 52,,,
(주)삼성PSL,2008,폐합성수지,대화티엔에스,진영제지공업,중간처분(일반소각),경상북도 칠곡군 기산면 기산공단1길 52,,,
(주)삼성PSL,2008,폐합성수지,대화테엔에스,국인산업,중간처분(일반소각),경상북도 칠곡군 기산면 기산공단1길 52,,,
(주)라크인더스터리,2008,폐합성수지류,(주)제일에너지,(주)제일에너지,중간처분(일반소각),경상북도 칠곡군 왜관읍 공단로9길 36,,,
(주)카펙발레오 제1사업장,2008,폐합성수지류(폐염화비닐수지류는 제외한다),(주)서광기업,동양에코(주),중간처분(고온소각),경상북도 칠곡군 왜관읍 공단로 82 (1단지 25B),,,
(주)카펙발레오 제1사업장,2008,폐합성수지류(폐염화비닐수지류는 제외한다),(주)서광기업,에스티에너지(주),재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 공단로 82 (1단지 25B),,,
아세아시멘트(주)대구공장,2008,폐콘크리트,더조은환경(주),예스환경(주),중간처분(파쇄.분쇄),경상북도 칠곡군 약목면 경호천동길 2,,,
아세아시멘트(주)대구공장,2008,폐합성수지류,대산환경(주),(주)국인산업,중간처분(일반소각),경상북도 칠곡군 약목면 경호천동길 2,,,
(주)엘앤에프,2008,폐내화물,유림환경합자회사,K.H세라믹,재활용(직접 제품제조),경상북도 칠곡군 왜관읍 2산업단지1길 135,,,
(주)엘앤에프,2008,폐내화물,(주)와이제이로지스,K.H세라믹,재활용(직접 제품제조),경상북도 칠곡군 왜관읍 2산업단지1길 135,,,
(주)엘앤에프,2008,폐내화물,(주)서광기업,(주)동양에코(경주),매립(민간관리형매립시설),경상북도 칠곡군 왜관읍 2산업단지1길 135,,,
(주)엘앤에프,2008,폐합성수지류(폐염화비닐수지류는 제외한다),(주)일선산업,(주)네비엔영천사업소,중간처분(일반소각),경상북도 칠곡군 왜관읍 2산업단지1길 135,,,
(주)엘앤에프,2008,그 밖의 폐목재류,(주)일선산업,녹색자원(주),재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 2산업단지1길 135,,,
(주)엘앤에프,2008,폐내화물,이엔티,(주)중앙교역,재활용(성토재·복토재 등으로 사용),경상북도 칠곡군 왜관읍 2산업단지1길 135,,,
(주)엘앤에프,2008,폐내화물,(주)이엔티앤에스,(주)중앙교역,재활용(성토재·복토재 등으로 사용),경상북도 칠곡군 왜관읍 2산업단지1길 135,,,
(주)엘앤에프,2008,폐합성수지류(폐염화비닐수지류는 제외한다),(주)일선산업,녹색자원(주),재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 2산업단지1길 135,,,
(주)엘앤에프,2008,폐합성수지류(폐염화비닐수지류는 제외한다),(주)일선산업,신대일제지공업(주),재활용(직접 에너지회수),경상북도 칠곡군 왜관읍 2산업단지1길 135,,,
(주)도현산업,2007,그 밖의 광재류 ,(주)비와이테크,(주)비와이테크,재활용(원료 제조),경상북도 칠곡군 약목면 경호천동길 62-27,,,
한일화이버,2007,폐합성수지,(주)시민환경,원에코(주),중간처분(일반소각),경상북도 칠곡군 기산면 기산공단2길 26,,,
세아산업(주)약목,2007,폐합성수지류(폐염화비닐수지류는 제외한다),(주)태흥환경개발,(주)태흥환경개발,중간처분(압축),경상북도 칠곡군 약목면 경호천동길 14,,,
칠곡엔바이로(주),2007,하수처리오니,(주)라이프환경,구미시설공단(구미하수처리장),재활용(연료·고형연료제품 제조),경상북도 칠곡군 왜관읍 공단로 8,,,
칠곡엔바이로(주),2007,분뇨처리오니,(주)라이프환경,(주)켐피아바이오,재활용(토질개선에 사용),경상북도 칠곡군 왜관읍 공단로 8,,,
칠곡엔바이로(주),2007,폐토사,(주)라이프환경,(주)청록,매립(민간관리형매립시설),경상북도 칠곡군 왜관읍 공단로 8,,,
칠곡엔바이로(주),2007,하수처리오니,자가,자가,재활용(토질개선에 사용),경상북도 칠곡군 왜관읍 공단로 8,,,
칠곡엔바이로(주),2007,하수처리오니,라이프환경,구미시설공단(구미하수처리장),재활용(연료·고형연료제품 제조),경상북도 칠곡군 왜관읍 공단로 8,,,
칠곡엔바이로(주),2007,하수처리오니,(주)라이프환경,서화농장,재활용(토질개선에 사용),경상북도 칠곡군 왜관읍 공단로 8,,,
칠곡엔바이로(주),2007,하수처리오니,(주)라이프환경,경주산업개발,매립(민간관리형매립시설),경상북도 칠곡군 왜관읍 공단로 8,,,
칠곡엔바이로(주),2007,폐활성탄,(주)백석화학,(주)백석화학,재활용(직접 제품제조),경상북도 칠곡군 왜관읍 공단로 8,,,
(주)한길,2007,그 밖의 식물성잔재물,동광환경(주),드림농장,재활용(농업생산활동에 사용),경상북도 칠곡군 왜관읍 봉계로 263,,,
(주)한길,2007,폐토사,동광환경(주),(주)케이엠그린구미지점,매립(민간관리형매립시설),경상북도 칠곡군 왜관읍 봉계로 263,,,
(주)한길,2007,폐합성수지류(폐염화비닐수지류는 제외한다),동광환경(주),에스티에너지(주),재활용(중간가공폐기물 제조),경상북도 칠곡군 왜관읍 봉계로 263,,,
