name,address,type,product
(주)경동기계,경상남도 김해시 진례면 초전리 796-3,"탭, 밸브 및 유사장치 제조업",
(주)금양아이엠,경상남도 김해시 상동면 우계리 253-9,"석면, 암면 및 유사제품 제조업",
(주)늘푸른,경상남도 김해시 진례면 담안리 1412-3,선박 구성부분품 제조업,
(주)대길티에프,경상남도 김해시 주촌면 내삼리 1259-1,그외 기타 자동차 부품 제조업,
(주)대륭이엔지,경상남도 김해시 주촌면 내삼리 117-2,금속 스프링 제조업,
(주)대영인더스트리,경상남도 김해시 진례면 고모리 990-4,도장 및 기타 피막처리업,
(주)대흥피에스씨,경상남도 김해시 진례면 고모리 24-1,그외 기타 자동차 부품 제조업,
(주)도우,경상남도 김해시 진영읍 내룡리 143-1,선박 구성부분품 제조업,
(주)도우,경상남도 김해시 진영읍 내룡리 143-1,선박 구성부분품 제조업,
(주)동명금속,경상남도 김해시 한림면 명동리 1177,금속 조립구조재 제조업,
(주)동산전자,경상남도 김해시 주촌면 농소리 628-6번지 김해골든루트일반산업단지 N-6,기타 가정용 전기기기 제조업,
(주)동산전자,경상남도 김해시 주촌면 농소리 628-6번지 김해골든루트일반산업단지 N-6,기타 가정용 전기기기 제조업,
(주)동산전자,경상남도 김해시 주촌면 농소리 628-6번지 김해골든루트일반산업단지 N-6,기타 가정용 전기기기 제조업,
(주)라인텍코리아,경상남도 김해시 상동면 묵방리 485,연사 및 가공사 제조업,
(주)메탈코리아상사,경상남도 김해시 한림면 퇴래리 872,그외 기타 1차 철강 제조업,
(주)보코트,경상남도 김해시 지내동 321-10,그외 기타 자동차 부품 제조업,
(주)비아텍,경상남도 김해시 생림면 사촌리 232,"탭, 밸브 및 유사장치 제조업",
(주)삼성그린콘크리트,경상남도 김해시 상동면 우계리 1073-26,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",
(주)서우정밀,경상남도 김해시 주촌면 천곡리 940,기타 주변기기 제조업,
(주)석진이엔티,경상남도 김해시 진영읍 죽곡리 325-1,"탭, 밸브 및 유사장치 제조업",
(주)석진이엔티,경상남도 김해시 진영읍 죽곡리 20-1,그외 기타 분류안된 금속가공제품 제조업,
(주)성우일렉트로닉스,경상남도 김해시 지내동 314-12,전자접속카드 제조업 외 16 종,
(주)성원기업,경상남도 김해시 부곡동 98-2,선박 구성부분품 제조업 외 1 종,
(주)신화엠에스,경상남도 김해시 생림면 나전리 449-7,기타 육류 가공 및 저장처리업,
(주)에이엠티코리아,경상남도 김해시 진영읍 의전리 373,그외 기타 금속가공업,
(주)엔티스,경상남도 김해시 상동면 우계리 110-7,기체 여과기 제조업 외 1 종,
(주)엘리스,경상남도 김해시 생림면 생철리 208-10,기타 목재가구 제조업,
(주)영신화공,경상남도 김해시 주촌면 원지리 860,산업용 비경화고무제품 제조업 외 1 종,
(주)영신화공제2공장,경상남도 김해시 주촌면 덕암리 779,산업용 비경화고무제품 제조업,
(주)오룡기계,경상남도 김해시 한림면 명동리 468-1,기타 가공공작기계 제조업 외 1 종,
(주)윈테크,경상남도 김해시 상동면 감노리 38-17,"증류기,열교환기 및 가스발생기 제조업",
(주)유니코글로벌,경상남도 김해시 한림면 병동리 852-6,기어 및 동력전달장치 제조업,
(주)유성산업,경상남도 김해시 진영읍 설창리 53-2,산업용 로봇 제조업,
(주)재승CWC,경상남도 김해시 한림면 용덕리 227,금속 조립구조재 제조업,
(주)재원비앤씨,경상남도 김해시 한림면 명동리 1181-4,절삭가공 및 유사처리업,
(주)진경,경상남도 김해시 유하동 364-7,도장 및 기타 피막처리업,
(주)청명에너텍,경상남도 김해시 이동 188-12,전동기 및 발전기 제조업 외 1 종,
