순번,단지명,회사명,대표업종번호,업종번호,업종명,공장대표주소,시군구,설립구분,생산품
1,성서지방산업단지,(주)명장,30399,30399+29294+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 4 종,대구성서산업단지관리공단,달서구,일반산업단지,실린더+댐퍼
2,서대구일반산업단지,(SM)컨설팅,68112,68112,비주거용 건물 임대업,서대구산업단지관리공단,서구,일반산업단지,경영 컨설팅
3,서대구일반산업단지,(SW)홀마켓,17222,17222,판지 상자 및 용기 제조업,서대구산업단지관리공단,서구,일반산업단지,포장완충재
4,대구제3일반산업단지,(사)한국장애인문화협회,17901,17901+18111+18113+18119,문구용 종이제품 제조업 외 3 종,대구제3산업단지관리공단,북구,일반산업단지,스케치북+수첩 등
5,,(사)한국지체장애인협회 달성군장애인재활자립작업장,22231,22231+16292+18119+32029+33933,플라스틱 포대+봉투 및 유사제품 제조업 외 4 종,대구광역시 달성군,달성군,일반,종량제봉투
6,달성2차일반산업단지,(사)한국지체장애인협회 달성군장애인재활자립작업장,16292,16292+18119+22231+32029+33933,장식용 목제품 제조업 외 4 종,한국산업단지공단 대구지역본부 달성사무소,달성군,일반산업단지,쓰레기종량제봉투 외
7,,(사)한국척수장애인협회디지털사업단,18111,18111,경 인쇄업,대구광역시 동구,동구,일반,인쇄물
8,성서5차첨단산업단지,(유)대구특수금속,29294,29294,주형 및 금형 제조업,대구성서산업단지관리공단,달성군,일반산업단지,자동차상업인쇄
9,성서지방산업단지,(유)대구특수금속,30399,30399+18112+26295+26299+29294+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 7 종,대구성서산업단지관리공단,달서구,일반산업단지,자동차부품+명판+라벨류
10,대구염색일반산업단지,(유)대안에이엔씨,13403,13403,날염 가공업,대구염색산업단지관리공단,서구,일반산업단지,나염
11,성서지방산업단지,(유)딘텍스코리아,18111,18111+18113,경 인쇄업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,경인쇄
12,성서지방산업단지,(유)시브코리아,31920,31920+31999,모터사이클 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,모터사이클
13,대구제3일반산업단지,(유)케이엠에스,25933,25933,비동력식 수공구 제조업,대구제3산업단지관리공단,북구,일반산업단지,툴홀더+보링바
14,서대구일반산업단지,(자)구진기업,25922,25922,도금업,서대구산업단지관리공단,서구,일반산업단지,시계+휴대폰 도금
15,,(자)삼우전자통신,26421,26421+26410+28121+28122,방송장비 제조업 외 3 종,대구광역시 수성구,수성구,일반,보안용카메라 외
16,성서지방산업단지,(재)대구기계부품연구원,29294,29294,주형 및 금형 제조업,대구성서산업단지관리공단,달서구,일반산업단지,주형 금형
17,대구국가산업단지,(재)대구기계부품연구원,70129,70129,기타 공학 연구개발업,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,연구개발+시험평가+기업지원
18,성서지방산업단지,(재)대구테크노파크,68112,68112,비주거용 건물 임대업,대구성서산업단지관리공단,달서구,일반산업단지,임대업
19,성서지방산업단지,(재)대구테크노파크부설바이오산업지원센터,10796,10796+10797+11209,건강보조용 액화식품 제조업 외 2 종,대구성서산업단지관리공단,달서구,일반산업단지,건강음료
20,성서지방산업단지,(재)우리환경연구소,72911,72911,물질성분 검사 및 분석업,대구성서산업단지관리공단,달서구,일반산업단지,토양오염도 검사 등
21,성서지방산업단지,(재)장애인기업종합지원센터,58222,58222,응용 소프트웨어 개발 및 공급업,대구성서산업단지관리공단,달서구,일반산업단지,프로그램
22,대구국가산업단지,(재)한국건설생활환경시험연구원,72919,72919,기타 기술 시험+검사 및 분석업,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,기타 기술 시험+검사 및 분석업
23,대구연구개발특구,(주) 씨에스텍,28111,28111+28114,전동기 및 발전기 제조업 외 1 종,연구개발특구지원본부 대구기술사업화센터 운영지원팀,동구,국가산업단지,태양광발전장치+에너지저장장치
24,대구염색일반산업단지,(주) 이 주,13402,13402,직물+편조원단 및 의복류 염색 가공업,대구염색산업단지관리공단,서구,일반산업단지,의류용심지
25,,(주) 제이드 청포도,14192,14192+13222+13409+14111+14112+14191+14193+14199+14300+14419+14491+14499+18113+18119,근무복+작업복 및 유사의복 제조업 외 13 종,대구광역시 서구,서구,일반,의류
26,대구연구개발특구,(주) 제이디자인웍스,72129,72129,기타 엔지니어링 서비스업,연구개발특구지원본부 대구기술사업화센터 운영지원팀,동구,국가산업단지,의료기기 디자인 및 설계서비스
27,대구연구개발특구,(주) 태양인덕션히터,29150,29150,산업용 오븐+노 및 노용 버너 제조업,연구개발특구지원본부 대구기술사업화센터 운영지원팀,동구,국가산업단지,고주파유도가열기
28,대구연구개발특구,(주) 튜링겐코리아,20423,20423,화장품 제조업,연구개발특구지원본부 대구기술사업화센터 운영지원팀,동구,국가산업단지,기능성화장품
29,,(주)1프로더마톨리지글로벌,18111,18111,경 인쇄업,대구광역시 중구,중구,일반,프린트인쇄+마스터제판인쇄
30,성서지방산업단지,(주)AL 네트웍스,10801,10801+10802,배합 사료 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,애완견간식
31,성서지방산업단지,(주)AVACO,29272,29272,디스플레이 제조용 기계 제조업,대구성서산업단지관리공단,달서구,일반산업단지,디스플레이용기계
32,성서지방산업단지,(주)AVACO,29272,29272,디스플레이 제조용 기계 제조업,대구성서산업단지관리공단,달서구,일반산업단지,디스플레이제조용기계
33,성서지방산업단지,(주)AVATEC,26211,26211+26212+26219,액정 표시장치 제조업 외 2 종,대구성서산업단지관리공단,달서구,일반산업단지,평판디스플레이+판유리가공품
34,성서지방산업단지,(주)DAS,29272,29272,디스플레이 제조용 기계 제조업,대구성서산업단지관리공단,달서구,일반산업단지,평판디스플레이장비
35,,(주)E.O.S,27193,27193+27301,안경 및 안경렌즈 제조업 외 1 종,대구광역시 동구,동구,일반,콘텍트렌즈
36,대구연구개발특구,(주)E.O.S,27301,27301,광학렌즈 및 광학요소 제조업,연구개발특구지원본부 대구기술사업화센터 운영지원팀,동구,국가산업단지,소프트 콘텍트렌즈
37,성서지방산업단지,(주)EV첨단소재,26221,26221+26222+26223+26295+28423,인쇄회로기판용 적층판 제조업 외 4 종,대구성서산업단지관리공단,달서구,일반산업단지,FPCB+투명LED DISPLAY
38,,(주)G.M식품,10121,10121,가금류 가공 및 저장 처리업,대구광역시 북구,북구,일반,계육
39,서대구일반산업단지,(주)GS텍스타일,13211,13211+13212,면직물 직조업 외 1 종,서대구산업단지관리공단,서구,일반산업단지,면+모직
40,성서지방산업단지,(주)HK솔루션,26422,26422+30332,이동전화기 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,스미트폰부품+자동차용센서부품
41,성서지방산업단지,(주)K.E,29294,29294+25913,주형 및 금형 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,주형및금형
42,성서지방산업단지,(주)LJ테크,26422,26422+30332,이동전화기 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,스마트폰부품+자동차센서부품
43,성서5차첨단산업단지,(주)S-Tech,29299,29299+29223,그 외 기타 특수목적용 기계 제조업 외 1 종,대구성서산업단지관리공단,달성군,일반산업단지,태양광 반도체 장비+평면연삭기
44,성서지방산업단지,(주)SJ테크,26422,26422+30332,이동전화기 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,휴대폰부품+자동차센서부품
45,성서지방산업단지,(주)SJ테크,26422,26422+30332,이동전화기 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,자동차용센서부품+스마트폰부품
46,대구국가산업단지,(주)SJ테크,30399,30399+30310+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 4 종,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,자동차전장+엔진+파워트레인부품
47,대구경북경제자유구역수성의료지구,(주)YH데이타베이스 ,58222,58222,응용 소프트웨어 개발 및 공급업,대구경북경제자유구역청,수성구,일반산업단지,응용소프트웨어개발 
48,달성2차일반산업단지,(주)가경이앤씨,25112,25112+25993+28511+32021+32091,구조용 금속 판제품 및 공작물 제조업 외 4 종,한국산업단지공단 대구지역본부 달성사무소,달성군,일반산업단지,금속제패널+금속울타리+차양+주방가구 및 신발장+장롱 및 수납가구 외
49,성서지방산업단지,(주)가나공업,30320,30320+30400,자동차 차체용 신품 부품 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,BALL JOINT CAP류
50,대구국가산업단지,(주)가나이엔지,29172,29172+25111+25112,공기 조화장치 제조업 외 2 종,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,공기순환기
51,성서지방산업단지,(주)가람,23222,23222,위생용 및 산업용 도자기 제조업,대구성서산업단지관리공단,달서구,일반산업단지,정밀요업(자동차부품+절삭공구 외)
52,성서지방산업단지,(주)가람기계,29241,29241,건설 및 채광용 기계장비 제조업,대구성서산업단지관리공단,달서구,일반산업단지,굴삭기부품
53,서대구일반산업단지,(주)가람엔지니어링,72121,72121,건물 및 토목 엔지니어링 서비스업,서대구산업단지관리공단,서구,일반산업단지,토목엔지니어링
54,서대구일반산업단지,(주)가베,18122,18122+46453+46463+47912,제책업 외 3 종,서대구산업단지관리공단,서구,일반산업단지,교구+완구
55,서대구일반산업단지,(주)가베 제2공장,18122,18122+46453+46463+47912+68112,제책업 외 4 종,서대구산업단지관리공단,서구,일반산업단지,교육용 교구+교재+서적+완구
56,서대구일반산업단지,(주)가베 제3물류동,46463,46463+46453+47911+47912,장난감 및 취미+오락용품 도매업 외 3 종,서대구산업단지관리공단,서구,일반산업단지,교구+완구
57,대구국가산업단지,(주)가암테크,26429,26429,기타 무선 통신장비 제조업,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,원격자동검침시스템
58,달성2차일반산업단지,(주)가야외장,25112,25112+29172+29173,구조용 금속 판제품 및 공작물 제조업 외 2 종,한국산업단지공단 대구지역본부 달성사무소,달성군,일반산업단지,금속제패널+차양
59,,(주)가온시스템,32091,32091+13224+25113+25114,금속 가구 제조업 외 3 종,대구광역시 달성군,달성군,일반,관람석
60,성서지방산업단지,(주)가온테크,27216,27216,산업처리공정 제어장비 제조업,대구성서산업단지관리공단,달서구,일반산업단지,자동화기계
61,성서지방산업단지,(주)가온테크 성서,27216,27216,산업처리공정 제어장비 제조업,대구성서산업단지관리공단,달서구,일반산업단지,산업기계
62,서대구일반산업단지,(주)가온텍,30399,30399+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 3 종,서대구산업단지관리공단,서구,일반산업단지,진동융착지그
63,,(주)가온하이텍,30320,30320,자동차 차체용 신품 부품 제조업,대구광역시 달성군,달성군,일반,자동차부품
64,,(주)가온하이텍,30320,30320,자동차 차체용 신품 부품 제조업,대구광역시 달성군,달성군,일반,자동차부품
65,대구연구개발특구,(주)가우스,26299,26299+26295+29280,그 외 기타 전자부품 제조업 외 2 종,연구개발특구지원본부 대구기술사업화센터 운영지원팀,,국가산업단지,산업용 기계 등
66,대구제3일반산업단지,(주)가을이엔지,25113,25113+25114,육상 금속 골조 구조재 제조업 외 1 종,대구제3산업단지관리공단,북구,일반산업단지,판금+제관+용접
67,대구옥포농공단지,(주)갈모,33999,33999,그 외 기타 달리 분류되지 않은 제품 제조업,대구광역시 달성군,달성군,농공단지,우산+양산
68,,(주)강경숙칠판,32091,32091+22299+25995+25999+29180+32029+32099+33920,금속 가구 제조업 외 7 종,대구광역시 중구,중구,일반,칠판 +보드
69,,(주)강산조경건설,33302,33302+32029+32099+33301,놀이터용 장비 제조업 외 3 종,대구광역시 달성군,,일반,놀이터 시설물외 목재시설물
70,성서지방산업단지,(주)강원포장,17211,17211+17212,골판지 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,골판지상자
71,대구염색일반산업단지,(주)거목텍스,13402,13402,직물+편조원단 및 의복류 염색 가공업,대구염색산업단지관리공단,서구,일반산업단지,폴리에스텔+나일론 염색
72,,(주)거산케이앤씨,28511,28511+25112+25113+25993+25994+25999+29150+29171+29250+29299+32091+33301,주방용 전기기기 제조업 외 11 종,대구광역시 북구,북구,일반,주방조리기구
73,성서지방산업단지,(주)거성스틸,24199,24199,그 외 기타 1차 철강 제조업,대구성서산업단지관리공단,달서구,일반산업단지,자동차 부품+건자재 부품+농자재 부품
74,,(주)거송,26519,26519+22212+22213+22241+22249+26529+28123+28410+28422+28423+28429+28909+29180+33920,비디오 및 기타 영상기기 제조업 외 13 종,대구광역시 중구,중구,일반,방송장비+차량보조브레이크
75,대구국가산업단지,(주)거양금속,30331,30331,자동차용 신품 동력전달장치 제조업,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,디프기어+스타트모터 등
76,북구검단지방산업단지,(주)거진지관,17229,17229,기타 종이 상자 및 용기 제조업,(사)대구검단산업단지관리공단,북구,일반산업단지,섬유사 봉(판지)+골판지
77,서대구일반산업단지,(주)건강나눔,29199,29199+29180+58221,그 외 기타 일반목적용 기계 제조업 외 2 종,서대구산업단지관리공단,서구,일반산업단지,소프트웨어 개발+키오스크 제작
78,,(주)건영,23324,23324,콘크리트 타일+기와+벽돌 및 블록 제조업,대구광역시 달성군,,일반,적벽돌
79,,(주)건영크리너,13999,13999,그 외 기타 분류 안된 섬유제품 제조업,대구광역시 북구,북구,일반,안경크리너
80,서대구일반산업단지,(주)건우공간정보,72121,72121,건물 및 토목 엔지니어링 서비스업,서대구산업단지관리공단,서구,일반산업단지,토목엔지니어링
81,대구국가산업단지,(주)건우기계,29224,29224,금속 성형기계 제조업,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,철근절단기+철근절곡기
82,서대구일반산업단지,(주)건화물류,68112,68112,비주거용 건물 임대업,서대구산업단지관리공단,서구,일반산업단지,비주거용건물임대
83,대구출판산업단지,(주)걸리버,18119,18119+18113,기타 인쇄업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,카다록+전단
84,서대구일반산업단지,(주)경구정보통신,42321,42321,일반 통신 공사업,서대구산업단지관리공단,서구,일반산업단지,cctv 및 주차시스템 설치
85,대구국가산업단지,(주)경남금형,29294,29294,주형 및 금형 제조업,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,알미늄압출 금형
86,성서지방산업단지,(주)경농,20321,20321+20322,화학 살균.살충제 및 농업용 약제 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,농약+에틸렌발생제
87,성서5차첨단산업단지,(주)경동,29223,29223,금속 절삭기계 제조업,대구성서산업단지관리공단,달성군,일반산업단지,밴딩소잉머신
88,성서지방산업단지,(주)경동기계,29223,29223,금속 절삭기계 제조업,대구성서산업단지관리공단,달서구,일반산업단지,통기계+공작기계
89,서대구일반산업단지,(주)경동세라텍,23222,23222,위생용 및 산업용 도자기 제조업,서대구산업단지관리공단,서구,일반산업단지,세라믹 제품
90,성서지방산업단지,(주)경동엔지니어링,29261,29261,산업용 섬유 세척+염색+정리 및 가공 기계 제조업,대구성서산업단지관리공단,달서구,일반산업단지,부직포기계
91,서대구일반산업단지,(주)경민기공,29223,29223,금속 절삭기계 제조업,서대구산업단지관리공단,서구,일반산업단지,드릴링 머신
92,성서지방산업단지,(주)경보시스템,28121,28121+28122,전기회로 개폐+보호장치 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,자동점멸기 가로등주
93,,(주)경북 캐터링,10751,10751+10759,도시락류 제조업 외 1 종,대구광역시 동구,동구,일반,도시락
94,서대구일반산업단지,(주)경북기공사,95211,95211,자동차 종합 수리업,서대구산업단지관리공단,서구,일반산업단지,자동차 정비
95,성서지방산업단지,(주)경북합판,16211,16211,박판+합판 및 유사 적층판 제조업,대구성서산업단지관리공단,달서구,일반산업단지,합판
96,KCC울산일반산업단지,(주)경성화이켐,61291,61291+61299,통신 재판매업 외 1 종,대구경북경제자유구역청,,일반산업단지,무선통신소재부품
97,성서지방산업단지,(주)경신텍스타일,13409,13409+13402,섬유제품 기타 정리 및 마무리 가공업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,화섬직텐타
98,달성2차일반산업단지,(주)경안금속,30399,30399+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 3 종,한국산업단지공단 대구지역본부 달성사무소,달성군,일반산업단지,시동모터 케이스
99,성서지방산업단지,(주)경양시스템,29299,29299,그 외 기타 특수목적용 기계 제조업,대구성서산업단지관리공단,달서구,일반산업단지,자동차부품 자동화설비
100,,(주)경오전자,26429,26429,기타 무선 통신장비 제조업,대구광역시 동구,동구,일반,DMB ANT
101,성서지방산업단지,(주)경원정공,29299,29299+29261,그 외 기타 특수목적용 기계 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,자동차램프 금형
102,성서지방산업단지,(주)경원정공,29294,29294,주형 및 금형 제조업,대구성서산업단지관리공단,달서구,일반산업단지,금형
103,북구검단지방산업단지,(주)경인산업,29199,29199+29176,그 외 기타 일반목적용 기계 제조업 외 1 종,(사)대구검단산업단지관리공단,북구,일반산업단지,산업용기계
104,대구제3일반산업단지,(주)경인스텐,28123,28123,배전반 및 전기 자동제어반 제조업,대구제3산업단지관리공단,북구,일반산업단지,전기배전반
105,서대구일반산업단지,(주)경일프로폰,20411,20411,일반용 도료 및 관련제품 제조업,서대구산업단지관리공단,서구,일반산업단지,샷시
106,,(주)경진T&C,20202,20202,합성수지 및 기타 플라스틱 물질 제조업,대구광역시 북구,북구,일반,합성 수지+섬유코팅제
107,대구출판산업단지,(주)경진씨앤이,18119,18119+18113,기타 인쇄업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,인쇄+출판
108,성서지방산업단지,(주)경진에스디에스,28909,28909,그 외 기타 전기장비 제조업,대구성서산업단지관리공단,달서구,일반산업단지,방화자동문장치
109,서대구일반산업단지,(주)경훈,13402,13402,직물+편조원단 및 의복류 염색 가공업,서대구산업단지관리공단,서구,일반산업단지,폴리에스터 원단 가공
110,성서지방산업단지,(주)경희강재,22211,22211,플라스틱 선+봉+관 및 호스 제조업,대구성서산업단지관리공단,달서구,일반산업단지,LPG 용기(형강+철재)
111,서대구일반산업단지,(주)계명자동차운전학원 서대구지점,85661,85661,운전학원,서대구산업단지관리공단,서구,일반산업단지,자동차운전학원
112,,(주)고려과학,27213,27213,물질 검사+측정 및 분석기구 제조업,대구광역시 동구,동구,일반,염색실험기기
113,,(주)고려금속,25922,25922,도금업,대구광역시 북구,북구,일반,자동차부품
114,,(주)고려정밀,30399,30399+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 3 종,대구광역시 달성군,달성군,일반,자동차부품
115,대구염색일반산업단지,(주)고려텍스,13402,13402,직물+편조원단 및 의복류 염색 가공업,대구염색산업단지관리공단,서구,일반산업단지,폴리에스텔 염색
116,대구경북경제자유구역수성의료지구,(주)고백기술 ,62021,62021,컴퓨터시스템 통합 자문 및 구축 서비스업,대구경북경제자유구역청,수성구,일반산업단지,컴퓨터시스템통합자문 
117,서대구일반산업단지,(주)고신테크,28302,28302,기타 절연선 및 케이블 제조업,서대구산업단지관리공단,서구,일반산업단지,피복절연선케이블
118,서대구일반산업단지,(주)고운정보통신,26421,26421,방송장비 제조업,서대구산업단지관리공단,서구,일반산업단지,케이블
119,달성일반산업단지,(주)고은텍스,13213,13213,화학섬유직물 직조업,달성1차산업단지관리공단,달성군,일반산업단지,폴리에스텔
120,달성2차일반산업단지,(주)고평,30399,30399+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 3 종,한국산업단지공단 대구지역본부 달성사무소,달성군,일반산업단지,자동차부품부싱제품
121,대구국가산업단지,(주)고평,30399,30399,그 외 자동차용 신품 부품 제조업,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,자동차부품
122,성서지방산업단지,(주)곤,10613,10613,곡물 혼합분말 및 반죽 제조업,대구성서산업단지관리공단,달서구,일반산업단지,단백질 쉐이크
123,북구검단지방산업단지,(주)공간,28422,28422,일반용 전기 조명장치 제조업,(사)대구검단산업단지관리공단,북구,일반산업단지,방등+거실등+센서등+스위치커버
124,,(주)공경산업,13219,13219,특수 직물 및 기타 직물 직조업,대구광역시 달성군,달성군,일반,쟈가드 벨벳
125,성서지방산업단지,(주)공성,29223,29223+29161+29210+29224+30122+30203,금속 절삭기계 제조업 외 5 종,대구성서산업단지관리공단,달서구,일반산업단지,차체및특장차+나사 절삭기
126,대구국가산업단지,(주)공성,30122,30122+30203,화물자동차 및 특수목적용 자동차 제조업 외 1 종,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,전동리프트특수차 등
127,달성일반산업단지,(주)관음정밀,26221,26221,인쇄회로기판용 적층판 제조업,달성1차산업단지관리공단,달성군,일반산업단지,인쇄회로판
128,성서지방산업단지,(주)광덕금속,30392,30392+25913+30391,자동차용 신품 제동장치 제조업 외 2 종,대구성서산업단지관리공단,달서구,일반산업단지,사이드힌지브라켁 등
129,성서지방산업단지,(주)광덕철강,,,,대구성서산업단지관리공단,달서구,일반산업단지,금속가공업
130,달성일반산업단지,(주)광동이엔지,25929,25929,그 외 기타 금속가공업,달성1차산업단지관리공단,달성군,일반산업단지,금속가공
131,,(주)광림센서텍,27215,27215,기기용 자동측정 및 제어장치 제조업,대구광역시 북구,북구,일반,수위조절기
132,달성2차일반산업단지,(주)광림정공,25924,25924+25111+25929+27213+29133+29210+29261+29271+29272+29299,절삭가공 및 유사처리업 외 9 종,한국산업단지공단 대구지역본부 달성사무소,달성군,일반산업단지,반도체 디스플레이용 진공 장비
133,달성2차일반산업단지,(주)광림정공,29271,29271,반도체 제조용 기계 제조업,한국산업단지공단 대구지역본부 달성사무소,달성군,일반산업단지,반도체조립용장비
134,달성2차일반산업단지,(주)광림정공,29271,29271+25924+25929+26295+26299,반도체 제조용 기계 제조업 외 4 종,한국산업단지공단 대구지역본부 달성사무소,달성군,일반산업단지,반도체 조립용 장비
135,북구검단지방산업단지,(주)광명테크,29180,29180,사무용 기계 및 장비 제조업,(사)대구검단산업단지관리공단,북구,일반산업단지,증명발급 및 사무자동화 시스템
136,대구경북경제자유구역수성의료지구,(주)광명테크 ,58222,58222,응용 소프트웨어 개발 및 공급업,대구경북경제자유구역청,수성구,일반산업단지,응용소프트웨어 개발 및 공급
137,,(주)광명테크엠,29294,29294,주형 및 금형 제조업,대구광역시 북구,북구,일반,주형 금형
138,성서지방산업단지,(주)광성,13219,13219,특수 직물 및 기타 직물 직조업,대구성서산업단지관리공단,달서구,일반산업단지,P.E천막지
139,성서지방산업단지,(주)광성2공장,20501,20501,합성섬유 제조업,대구성서산업단지관리공단,달서구,일반산업단지,P.E타포린
140,북구검단지방산업단지,(주)광성공업,30399,30399+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 3 종,(사)대구검단산업단지관리공단,북구,일반산업단지,압형자동차부품
141,대구제3일반산업단지,(주)광성정공,25119,25119+20491+25111+25112+25113+25114+25122+25123+25924+25932+25992+25994+25995+25999+26421+27199+27302+28114+28119+28121+28122+28123+28423+28511+28903+29133+29150+29174+29180+29223+29250+29261+29299+31114+31202+31311+31312+31322+31999+32021+32029+32091+33301+33910,기타 구조용 금속제품 제조업 외 43 종,대구제3산업단지관리공단,북구,일반산업단지,판금제품
142,북구검단지방산업단지,(주)광성테크엠,30399,30399+25924+30391+30392+30400,그 외 자동차용 신품 부품 제조업 외 4 종,(사)대구검단산업단지관리공단,북구,일반산업단지,자동차부품(스타팅모터커버)
143,,(주)광전이앤에스,28123,28123,배전반 및 전기 자동제어반 제조업,대구광역시 달성군,달성군,일반,조명제어장치+빌딩자동제어장치 등
144,대구국가산업단지,(주)광진금속,25922,25922,도금업,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,자동차부품 금속표면처리
145,,(주)광진정밀,29294,29294,주형 및 금형 제조업,대구광역시 서구,서구,일반,금형
146,,(주)구남공조ENG,25112,25112,구조용 금속 판제품 및 공작물 제조업,대구광역시 동구,동구,일반,닥트
147,서대구일반산업단지,(주)구띠,13409,13409+13402,섬유제품 기타 정리 및 마무리 가공업 외 1 종,서대구산업단지관리공단,서구,일반산업단지,섬유정포가공
148,서대구일반산업단지,(주)구띠(기숙사),13409,13409,섬유제품 기타 정리 및 마무리 가공업,서대구산업단지관리공단,서구,일반산업단지,기숙사
149,성서지방산업단지,(주)구봉,22241,22241+22249+25929+30310+30400,운송장비 조립용 플라스틱제품 제조업 외 4 종,대구성서산업단지관리공단,달서구,일반산업단지,자동차부품
150,대구제3일반산업단지,(주)구봉에스테크,25929,25929+25922+30391+30392+30399+30400,그 외 기타 금속가공업 외 5 종,대구제3산업단지관리공단,북구,일반산업단지,자동차 브레이크용 캘리퍼 피스톤
151,북구검단지방산업단지,(주)구봉정보기술,26329,26329+26519,기타 주변기기 제조업 외 1 종,(사)대구검단산업단지관리공단,북구,일반산업단지,DVR
152,대구연구개발특구,(주)구비테크,26121,26121+26129,발광 다이오드 제조업 외 1 종,연구개발특구지원본부 대구기술사업화센터 운영지원팀,달성군,국가산업단지,반도체검사장비
153,대구국가산업단지,(주)구영테크,30320,30320+29294,자동차 차체용 신품 부품 제조업 외 1 종,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,자동차부품
154,,(주)구오기업,29150,29150,산업용 오븐+노 및 노용 버너 제조업,대구광역시 서구,서구,일반,산업용로+도가니
155,성서지방산업단지,(주)구일건설기계공업,29241,29241+30201+30202,건설 및 채광용 기계장비 제조업 외 2 종,대구성서산업단지관리공단,달서구,일반산업단지,중장비 및 건설기계장비
156,성서지방산업단지,(주)구일대구지점,29299,29299+29261,그 외 기타 특수목적용 기계 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,자동화기계
157,,(주)구일텍,22251,22251+22259,폴리스티렌 발포 성형제품 제조업 외 1 종,대구광역시 달성군,달성군,일반,단열재
158,,(주)국제물류기계,29169,29169+29161+29163+29210,기타 물품 취급장비 제조업 외 3 종,대구광역시 북구,북구,일반,물류취급장비
159,성서지방산업단지,(주)국제수출포장,16232,16232,목재 포장용 상자+드럼 및 유사용기 제조업,대구성서산업단지관리공단,달서구,일반산업단지,목재상자
160,성서5차첨단산업단지,(주)국제전기,28123,28123+27211+28119,배전반 및 전기 자동제어반 제조업 외 2 종,대구성서산업단지관리공단,달성군,일반산업단지,배전반 외+태양광발전장치+ESS 외
161,성서지방산업단지,(주)국제정공,30310,30310+29294+30391+30392+30399+30400,자동차 엔진용 신품 부품 제조업 외 5 종,대구성서산업단지관리공단,달서구,일반산업단지,자동차부품
162,대구염색일반산업단지,(주)국제텍,13402,13402,직물+편조원단 및 의복류 염색 가공업,대구염색산업단지관리공단,서구,일반산업단지,폴리에스텔
163,성서지방산업단지,(주)국진과미래,27216,27216,산업처리공정 제어장비 제조업,대구성서산업단지관리공단,달서구,일반산업단지,자동화기계
164,대구경북경제자유구역수성의료지구,(주)군월드 ,58221,58221,시스템 소프트웨어 개발 및 공급업,대구경북경제자유구역청,수성구,일반산업단지,소프트웨어개발 
165,,(주)굿유니폼,14111,14111+13221+14112+14191+14192+14199,남자용 겉옷 제조업 외 5 종,대구광역시 중구,중구,일반,남+여성복정장
166,,(주)궁전방,10711,10711,떡류 제조업,대구광역시 달성군,달성군,일반,찹쌀떡+송편+인절미
167,성서지방산업단지,(주)그렉스,28519,28519,기타 가정용 전기기기 제조업,대구성서산업단지관리공단,달서구,일반산업단지,고정압팬
168,대구국가산업단지,(주)그린개발,70129,70129,기타 공학 연구개발업,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,기타 공학 연구개발업
169,대구국가산업단지,(주)그린모빌리티,30122,30122+31920,화물자동차 및 특수목적용 자동차 제조업 외 1 종,한국산업단지공단 대구지역본부 달성사무소,달성군,국가산업단지,자동차용 전기장치+전기오토바이
