순번,단지명,회사명,대표업종번호,업종번호,업종명,공장대표주소,시군구,설립구분,생산품
9340,,천우금속,25112,25112,구조용 금속 판제품 및 공작물 제조업,대구광역시 달서구,달서구,일반,건축구조재(철판+H빔가공)
9341,서대구일반산업단지,천우기업,25929,25929+25924,그 외 기타 금속가공업 외 1 종,서대구산업단지관리공단,서구,일반산업단지,기타금속가공업
9342,,천우산업,30399,30399,그 외 자동차용 신품 부품 제조업,대구광역시 달성군,,일반,자동차부품
9343,서대구일반산업단지,천우운수(주),49231,49231+68112,택시 운송업 외 1 종,서대구산업단지관리공단,서구,일반산업단지,택시운송
9344,,천우원색인쇄사,18111,18111+18113,경 인쇄업 외 1 종,대구광역시 중구,중구,일반,인쇄+카다록
9345,서대구일반산업단지,천일,68112,68112,비주거용 건물 임대업,서대구산업단지관리공단,서구,일반산업단지,임대업
9346,성서지방산업단지,천일금형사,29294,29294+22241+22249,주형 및 금형 제조업 외 2 종,대구성서산업단지관리공단,달서구,일반산업단지,플라스틱 금형
9347,,천일기계,31113,31113+29241,기타 선박 건조업 외 1 종,대구광역시 달서구,달서구,일반,준설선+샌드펌프 및 선별기
9348,서대구일반산업단지,천일메탈,24290,24290,기타 1차 비철금속 제조업,서대구산업단지관리공단,서구,일반산업단지,비철금속
9349,달성2차일반산업단지,천일식품,10211,10211,수산동물 훈제+조리 및 유사 조제식품 제조업,한국산업단지공단 대구지역본부 달성사무소,달성군,일반산업단지,냉동 수산물
9350,서대구일반산업단지,천일인쇄소,18119,18119+18113,기타 인쇄업 외 1 종,서대구산업단지관리공단,서구,일반산업단지,박스인쇄
9351,서대구일반산업단지,천일장갑,14499,14499,그 외 기타 의복액세서리 제조업,서대구산업단지관리공단,서구,일반산업단지,면장갑
9352,서대구일반산업단지,천일장갑 제2공장,14499,14499,그 외 기타 의복액세서리 제조업,서대구산업단지관리공단,서구,일반산업단지,장갑
9353,북구검단지방산업단지,천일펌프,29132,29132,기체 펌프 및 압축기 제조업,(사)대구검단산업단지관리공단,북구,일반산업단지,양수기
9354,서대구일반산업단지,천프라자,13221,13221,침구 및 관련제품 제조업,서대구산업단지관리공단,서구,일반산업단지,침장
9355,성서지방산업단지,천혜산업,25924,25924,절삭가공 및 유사처리업,대구성서산업단지관리공단,달서구,일반산업단지,열간단조금형
9356,,철구산업(주),29199,29199+25111+25113+25114+25119+25122+25123+25994+29161+29162+29169+29176+29222+29224+30203+30310+30400,그 외 기타 일반목적용 기계 제조업 외 16 종,대구광역시 달성군,달성군,일반,건설.철근가공기자재
9357,성서지방산업단지,철구정밀,29271,29271,반도체 제조용 기계 제조업,대구성서산업단지관리공단,달서구,일반산업단지,반도체조립용장비
9358,성서지방산업단지,철권정밀,30310,30310+30400,자동차 엔진용 신품 부품 제조업 외 1 종,대구성서산업단지관리공단,달서구,일반산업단지,자동차엔진용 부품
9359,북구검단지방산업단지,철용공업사,25932,25932,일반철물 제조업,(사)대구검단산업단지관리공단,북구,일반산업단지,도어록
9360,성서지방산업단지,청광테크,30399,30399,그 외 자동차용 신품 부품 제조업,대구성서산업단지관리공단,달서구,일반산업단지,자동차부품
9361,성서지방산업단지,청구금속,25932,25932,일반철물 제조업,대구성서산업단지관리공단,달서구,일반산업단지,가구용부속
9362,,청구도시락,10751,10751+10759,도시락류 제조업 외 1 종,대구광역시 수성구,수성구,일반,도시락(청구1호~6호+국밥1호 등)
9363,,청구버티칼,13223,13223,커튼 및 유사제품 제조업,대구광역시 달성군,달성군,일반,버티칼+롤스크린+우드브라인드
9364,,청구브레인,17229,17229,기타 종이 상자 및 용기 제조업,대구광역시 북구,북구,일반,종이상자 등
9365,서대구일반산업단지,청구자동차공업사,95211,95211,자동차 종합 수리업,서대구산업단지관리공단,서구,일반산업단지,자동차수리
9366,,청기와산업,13409,13409,섬유제품 기타 정리 및 마무리 가공업,대구광역시 북구,북구,일반,원단표백
9367,,청명산업,22229,22229,기타 건축용 플라스틱 조립제품 제조업,대구광역시 서구,서구,일반,배수트랩
9368,북구검단지방산업단지,청목산업,29223,29223,금속 절삭기계 제조업,(사)대구검단산업단지관리공단,북구,일반산업단지,선박부품+금형가공
9369,,청미안,13223,13223,커튼 및 유사제품 제조업,대구광역시 남구,남구,일반,브라인드+커텐
9370,북구검단지방산업단지,청보,29271,29271,반도체 제조용 기계 제조업,(사)대구검단산업단지관리공단,북구,일반산업단지,반도체 기계용 진공부품
9371,,청산양말,14411,14411,스타킹 및 기타 양말 제조업,대구광역시 남구,남구,일반,양말
9372,,청산포장,13922,13922,어망 및 기타 끈 가공품 제조업,대구광역시 달성군,달성군,일반,농수산물포장용그물망
9373,북구검단지방산업단지,청송농기 제1공장,29210,29210,농업 및 임업용 기계 제조업,(사)대구검단산업단지관리공단,북구,일반산업단지,살포기+제초기
9374,대구제3일반산업단지,청송정밀자원,25924,25924,절삭가공 및 유사처리업,대구제3산업단지관리공단,북구,일반산업단지,경첩
9375,대구제3일반산업단지,청수워터스,29175,29175,액체 여과기 제조업,대구제3산업단지관리공단,북구,일반산업단지,R/O수처리 장치 제작
9376,달성일반산업단지,청심,29163,29163+25122+27216+29150+29173+29174+29175+29299,컨베이어장치 제조업 외 7 종,달성1차산업단지관리공단,달성군,일반산업단지,산업용송풍기
9377,,청아유니폼,14192,14192+14111+14112,근무복+작업복 및 유사의복 제조업 외 2 종,대구광역시 서구,서구,일반,근무복
9378,대구제3일반산업단지,청안산업,27193,27193,안경 및 안경렌즈 제조업,대구제3산업단지관리공단,북구,일반산업단지,안경테
9379,,청우디지털정보통신,26421,26421+26410+26429+26519+26529+28423+28901+29193+29194,방송장비 제조업 외 8 종,대구광역시 북구,북구,일반,무선통신기기+비상경보기
9380,,청우전기조명,28422,28422,일반용 전기 조명장치 제조업,대구광역시 북구,북구,일반,LED등기구
9381,서대구일반산업단지,청우케미칼,20119,20119,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,서대구산업단지관리공단,서구,일반산업단지,소포제
