회사명,종업원수,생산품,용지면적(제곱미터),제조시설면적(제곱미터),부대시설면적(제곱미터),공장대표주소,도로명주소,업종명,년도,분기,위도,경도
(주)성남샤시,6,플라스틱제품,,315,379.8,경상남도 김해시 진례면 청천리 548-1,경상남도 김해시 진례면 서부로396번길 61-21,기타 건축용 플라스틱 조립제품 제조업 외 1 종,2017,4,35.27037794,128.7471264
(주)성덕중공업,18,파이프,,1656,1000,경상남도 김해시 한림면 퇴래리 83-3,경상남도 김해시 한림면 김해대로927번길 274 (총 3 필지),선박 구성 부분품 제조업,2017,4,35.30535661,128.7954804
(주)성도스틸에스,4,철구조물,,231.2,5.4,경상남도 김해시 지내동 322-9,경상남도 김해시 삼안로16번길 10,육상 금속 골조 구조재 제조업 외 1 종,2017,4,35.23046562,128.9190569
(주)성광볼트,3,"유볼트,스타트볼트",,493,140,경상남도 김해시 한림면 신천리 513-3,경상남도 김해시 한림면 김해대로1472번길 10-2,볼트 및 너트류 제조업,2017,4,35.27614406,128.8321994
(주)성덕중공업,18,"PRESS PC'S, HEATING COIL",,1472.24,637.17,경상남도 김해시 주촌면 망덕리 448,경상남도 김해시 주촌면 소망길 13-74,선박 구성 부분품 제조업,2017,4,35.22200665,128.8337766
(주)성도,25,냉각탑(F.R.P),,490,235.58,경상남도 김해시 주촌면 내삼리 177-1,경상남도 김해시 주촌면 서부로1541번길 215,운송장비 조립용 플라스틱제품 제조업 외 4 종,2017,4,35.24287682,128.805281
(주)성민상사,15,밍크담요,,895.6,149.88,경상남도 김해시 상동면 매리 726-1,경상남도 김해시 상동면 상동로 771, ,2017,4,35.31496066,128.9515636
(주)성신테크,14,건축자재(창호),,540.2,978.68,경상남도 김해시 지내동 323-5,경상남도 김해시 삼안로16번길 22 (총 2 필지),구조용 금속 판제품 및 공작물 제조업,2017,4,35.2304393,128.9203325
(주)성영,17,프라스틱자동차부품,,449,45,경상남도 김해시 주촌면 덕암리 550-2,경상남도 김해시 주촌면 서부로1701번길 345,그 외 자동차용 신품 부품 제조업 외 3 종,2017,4,35.26163836,128.818706
(주)성림산업,44,에어콘부품,,726,101.58,경상남도 김해시 진례면 송현리 1022,경상남도 김해시 진례면 고모로180번길 103,기체 여과기 제조업 외 1 종,2017,4,35.24072265,128.7778593
(주)성미에스테크2공장,30,토목공사장비,,2086.6,97.58,,경상남도 김해시 주촌면 내삼리 1213번지 외 3필지 외 3필지,건설 및 채광용 기계장비 제조업,2017,4,35.22888093,128.8141258
(주)성신,21,미장합판,,3237.6,998.97,경상남도 김해시 상동면 매리 230-4,경상남도 김해시 상동면 상동로 904-1,"목재 보존, 방부처리, 도장 및 유사 처리업",2017,4,35.31611724,128.9655528
(주)성미에스테크,40,산업기계,,3825,619.16,경상남도 김해시 주촌면 내삼리 1052,경상남도 김해시 주촌면 서부로1541번안길 69 (총 2 필지) (총 2 필지),건설 및 채광용 기계장비 제조업,2017,4,35.23426938,128.8097819
(주)성산,25,자동차부품,,2477.55,1312.61,경상남도 김해시 한림면 퇴래리 138,경상남도 김해시 한림면 김해대로1031번안길 48-14,그 외 자동차용 신품 부품 제조업 외 3 종,2017,4,35.30160425,128.7946796
(주)성아,10,냉장고부품,,1041,125.75,경상남도 김해시 안동 542-3,경상남도 김해시 김해대로2636번길 13-14 (안동),도장 및 기타 피막처리업,2017,4,35.22713847,128.9158935
